579300,52,66,-232
579350,75,14,-264
579400,50,76,-217
579450,61,25,-189
579500,49,42,-217
579550,62,38,-250
579600,52,35,-232
579650,51,36,-230
579700,65,28,-263
579750,40,36,-214
579800,70,16,-271
579850,19,41,-222
579900,-1,5,-303
579950,24,55,-239
580000,7,42,-202
580050,28,89,-200
580100,112,20,-68
580150,132,194,-43
580200,162,221,-75
580250,188,238,18
580300,229,262,32
580350,189,320,-25
580400,160,314,17
580450,152,258,-38
580500,191,209,-15
580550,164,185,-56
580600,174,200,-43
580650,165,196,-28
580700,159,211,-48
580750,165,204,-51
580800,170,199,-54
580850,163,196,-62
580900,164,175,-57
580950,165,160,-49
581000,152,199,-61
581050,127,233,-59
581100,115,245,-4
581150,97,269,-104
581200,83,351,-56
581250,83,379,-60
581300,110,334,-72
581350,139,370,-100
581400,183,341,-82
581450,219,331,-102
581500,166,194,-98
581550,101,208,-101
581600,133,148,-27
581650,154,163,-20
581700,130,102,-11
581750,90,128,-16
581800,116,112,6
581850,108,182,-23
581900,140,202,-38
581950,115,275,-45
582000,128,403,-22
582050,206,364,-37
582100,130,451,-95
582150,54,353,-74
582200,103,275,-58
582250,78,337,-6
582300,65,290,-25
582350,53,244,-19
582400,81,228,-59
582450,99,252,-81
582500,147,272,-64
582550,232,317,-52
582600,232,322,-82
582650,276,325,-70
582700,325,218,-6
582750,187,194,-62
582800,198,100,-9
582850,116,121,0
582900,123,86,30
582950,104,125,2
583000,95,210,-69
583050,76,209,-79
583100,66,268,-65
583150,40,388,-117
583200,112,425,-120
583250,61,422,-93
583300,3,348,-132
583350,80,320,-143
583400,35,386,-132
583450,91,308,-61
583500,80,358,-90
583550,128,318,-67
583600,134,310,-93
583650,144,266,-54
583700,152,234,-46
583750,129,216,-42
583800,152,139,-29
583850,69,127,-18
583900,122,153,-16
583950,137,226,-3
584000,67,287,-27
584050,99,195,-8
584100,73,508,-29
584150,77,304,-39
584200,93,247,-25
584250,68,349,-66
584300,40,391,-60
584350,42,465,-6
584400,12,475,-80
584450,29,346,-65
584500,71,379,-123
584550,126,387,-65
584600,123,406,-74
584650,195,353,-108
584700,162,249,-131
584750,137,298,-33
584800,105,184,30
584850,62,206,24
584900,83,152,63
584950,48,189,15
585000,126,277,88
585050,95,260,-52
585100,57,293,-75
585150,99,333,0
585200,41,300,-22
585250,44,241,-94
585300,47,258,-126
585350,83,267,-97
585400,108,245,-88
585450,116,300,-157
585500,133,245,-111
585550,100,376,-105
585600,141,414,-96
585650,105,400,-187
585700,-20,386,-253
585750,-62,247,-196
585800,-26,368,-130
585850,54,388,-117
585900,83,386,-119
585950,122,365,-98
586000,109,370,-92
586050,138,325,-69
586100,88,285,-91
586150,113,259,-27
586200,75,187,-34
586250,115,183,2
586300,91,140,8
586350,25,155,-64
586400,100,215,27
586450,60,291,30
586500,72,204,57
586550,77,275,10
586600,74,229,0
586650,33,303,-52
586700,58,317,-76
586750,50,262,-21
586800,70,344,-17
586850,53,431,-16
586900,56,463,-67
586950,-12,421,-100
587000,55,336,-121
587050,71,349,-126
587100,66,364,-103
587150,103,335,-143
587200,102,270,-179
587250,91,335,-95
587300,84,263,-86
587350,66,270,-111
587400,15,302,-102
587450,64,190,-88
587500,3,207,-22
587550,1,95,-102
587600,28,206,31
587650,32,230,2
587700,36,148,-23
587750,29,182,4
587800,77,171,18
587850,60,240,-2
587900,85,259,-41
587950,70,384,29
588000,32,449,35
588050,99,423,131
588100,135,416,24
588150,167,407,-105
588200,161,296,-89
588250,138,161,-81
588300,167,83,-106
588350,168,82,-107
588400,203,134,-83
588450,194,152,-115
588500,212,151,-24
588550,223,160,-28
588600,215,159,-66
588650,198,186,17
588700,201,203,-20
588750,212,161,-68
588800,202,176,-62
588850,193,166,-42
588900,180,185,-48
588950,162,227,-64
589000,142,215,-89
589050,121,226,-124
589100,128,267,-106
589150,141,225,-130
589200,167,201,-117
589250,157,188,-116
589300,168,192,-72
589350,186,186,-55
589400,132,167,-101
589450,45,245,-129
589500,-44,432,-207
589550,2,484,-252
589600,126,468,-200
589650,203,281,-283
589700,183,352,12
589750,220,206,-44
589800,228,104,98
589850,132,123,111
589900,117,105,35
589950,116,175,66
590000,93,162,48
590050,102,206,3
590100,131,186,-5
590150,126,215,-49
590200,157,268,-45
590250,163,345,-105
590300,122,470,-140
590350,188,511,-229
590400,13,503,-170
590450,-20,260,-164
590500,-35,417,-71
590550,15,379,-44
590600,49,321,-59
590650,73,330,-74
590700,93,277,-63
590750,74,291,-33
590800,109,275,-15
590850,111,229,-12
590900,80,147,-64
590950,130,257,102
591000,147,181,0
591050,104,272,-15
591100,154,347,2
591150,122,217,-76
591200,102,207,-27
591250,97,216,-5
591300,78,259,-14
591350,118,213,-73
591400,103,203,-134
591450,85,310,-187
591500,42,362,-181
591550,22,511,-191
591600,18,459,-126
591650,13,338,-186
591700,54,314,-187
